projectname,Abstract,origin_label,datasetname
hbase,attached patch addressed teds comments,no,ds-01-issue
328281360,form and style your code was easy follow and well annotated thanks !,no,ds-04-R-issue
camel,should same servicecall ? can work both later needed,no,ds-01-issue
gerrit,googlesource com does this mean you already have implementation that could ported open source project ?,no,ds-01-issue
camel,package imported camel spring component generates error osgi platform,no,ds-01-issue
camel,whether should stored body directly attachment really dont know,no,ds-01-issue
hadoop,rpm package doesnt seem include historyserver and secondarynamenode init scripts looks like and init script should added list init scripts spec file,yes,ds-01-issue
hadoop,could more fundamental not sure committers are correctly telling guard about parent directories after each put manifest call finishedwrite but that seems more about purging spurious deleted files rather than adding dir entries into guard provided mkdirs called proposed build list all directories which need exist part job commit and only create those entries other strategy mkdir parent thats bit more expensive though better not worry about whether exists and all this stuff during job commit only,yes,ds-01-issue
414193654,often work with large sets sanger sequences research and being able have access them locally very appealing,no,ds-04-R-issue
hadoop,lgtm small nit future you can use when checking exception text will commit shortly thanks arun,yes,ds-01-issue
impala,kudu dml queries may fail due invalid plan following circumstances query has outer join that involves inline view outer joined inline view contains null checking expressions like and constant expressions like literals following error message will appear logs further due separate issue coordinating impalad may crash impala this issue regression introduced impala recent addition partial sorting before kudu dml see impala reproduction,no,ds-01-issue
chromium,version windows windows server happens off and few sites and its been like that about week now few reloads page necessary get javascript icon appear toolbar again case websites that havent allowed yet just happened again that site useragentstring mozilla windows wow applewebkit khtml like gecko chrome safari,no,ds-01-issue
hbase,gettasklist returns null comming out form taskloop here when ever gettasklist return null this thread should wait and when ever will notified will continue work splitlogworker thread wont exited attached patch with this change,no,ds-01-issue
impala,toolchain commit,no,ds-01-issue
gerrit,add reset menu settings,no,ds-01-issue
camel,trying build data feed using fix protocol far ive been able process data request but having problems with market data response using bindy and created model using onetomany annotation model data repeating group onetomany mappedto private however when model marshaled into fix message only first item list repeating group gets processed similar issue has been addressed here this resolved already and which version this resolved ? thanks,no,ds-01-issue
chromium,works fine,no,ds-01-issue
chromium,few localized languages cannot found mac,no,ds-01-issue
hadoop,lock now has shutdownhook creation which ends doing which ends doing new configuration within locked section this indirectly hurts cache hit scenarios well since lock this held then other section cannot entered either slowing down rawlocalfilesystem when there are other threads creating hdfs filesystem objects same time,yes,ds-01-issue
hadoop,have merged this thanks !,no,ds-01-issue
camel,none,no,ds-01-issue
chromium,merging into,no,ds-01-issue
gerrit,repo download all starred changes,no,ds-01-issue
hadoop,this change seems fine not too worried about adding seconds checkstyle runs however why arent seeing checkstyle run precommit ? need add space java file somewhere trigger change detection ?,no,ds-01-issue
hbase,move apache parent pom version,no,ds-01-issue
camel,upgrade quartz,no,ds-01-issue
gerrit,thanks bringing this had reply candidate before but decide with send end you can see discussion here but agree its misleading and should address this current candidates reply save assign ben will ooo soon,no,ds-01-issue
impala,new code that will enabled with impala wont have this problem since null indicators are prefixed each row,no,ds-01-issue
hbase,updated version fixes,no,ds-01-issue
hbase,backported all branches,no,ds-01-issue
hbase,why not extends rwqueuerpcexecutor ?,no,ds-01-issue
hbase,thanks this good suggestion will send mail out user list,no,ds-01-issue
hadoop,thanks and review,no,ds-01-issue
hadoop,validate data passed through testreducefetch,no,ds-01-issue
hadoop,patch attached update nullappender log properties set explicitly default bin and env scripts this mostly nop and now default nullappender log properties update hdfs audit logger hadoop env match this being made configurable hadoop mapred audit logger not set bin env scripts and dead code filed hadoop that and hookup testing verified hdfs audit log longer automatically created and logged when run from tarball install,yes,ds-01-issue
gerrit,this resolved switch notedb comments are read out notedb order and longer dependent quirks database layer,no,ds-01-issue
hbase,closing this issue after release,no,ds-01-issue
hadoop,attaching branch win compatible patch will attach trunk patch well,no,ds-01-issue
thrift,since youre not paul you commit then one assumes youve read and think reasonable which constitutes review general someone besides author patch commits that counts review its best wisdom even brainer one line patches confirmed second set eyes and thats all that reviewing means best practice simply not commit your own patches that way everything reviewed without lot formal process however this requires committers who are attentive and dont ignore patches every patch proposed ready commit should either committed within few days,no,ds-01-issue
chromium,ping ? will can you please take look and assign appropriate ?,no,ds-01-issue
camel,cometd component has ability authenticate connection with custom securitypolicy this information can then added cometd session further calls unfortunately session attributes arent passed camel message processing endpoints and processors further down line,no,ds-01-issue
thrift,having classes ala java and ruby useful heres patch with implementation python,no,ds-01-issue
hbase,thanks your update you think your patch will address this problem ? your explanation seems wrt mvcc right ?,no,ds-01-issue
camel,should set splited attachment,no,ds-01-issue
hbase,few ugly exceptions startup,yes,ds-01-issue
gerrit,now diff view fine related change but outside scope this,no,ds-01-issue
chromium,before closing this bug please make sure that same fix also apply you video page well there are total three pages with same fix their website all them should work now,no,ds-01-issue
gerrit,aleast from onwards open already submitted change diff view click edit button edit button shouldnt displayed least greyed out since editing already submitted change anyway impossible button enabled and one can enter edit mode clocking save will cause error response buttons publish edit leave edit mode change screen are not displayed exit edit mode url has manually changed,no,ds-01-issue
hbase,when using following command trying build tar ball against hadoop beta got following see full output attachment,no,ds-01-issue
hadoop,thanks atm will fix spelling misstake running full suite now,yes,ds-01-issue
camel,thanks reporting have reproduced issue and have pending fix,no,ds-01-issue
gerrit,piping data into non interactive adb shell,no,ds-01-issue
hbase,fails against hadoop profile,no,ds-01-issue
hbase,dont quite grok change jiafeng could explain again why this fix issue ? sorry being slow this thanks,no,ds-01-issue
hbase,these methods are currently public,no,ds-01-issue
chromium,slip fingers thanks correction,no,ds-01-issue
thrift,thrift idl grammar allows dotted identifier names,no,ds-01-issue
camel,use user forum user mailing list ask help,no,ds-01-issue
hadoop,nah this has been fixed trunk good unfortunately test patch doesnt know about minor releases but lets ahead and close this wont fix since correct newer branches thanks work this !,no,ds-01-issue
hbase,thanks correcting name ! let fix commit description well and resubmit patch after this fix test still flaky then will take another look,yes,ds-01-issue
impala,thanks triaging this root cause seems script returning even when fails ill put out review momentarily,no,ds-01-issue
hbase,seems have been fixed via hbase and upwards towards hdfs where issue lied please reopen wrong,no,ds-01-issue
chromium,windows japanese default font size location bar,no,ds-01-issue
impala,casting boolean decimal produces analysis exception,no,ds-01-issue
camel,camelcontext should support autostartup,no,ds-01-issue
camel,predicates defined java dsl are not dumped xml when using jmx this java dsl route will dumped this this seems similar camel,no,ds-01-issue
hadoop,info ipc server listener readandprocess from client threw exception unknown out band call this thrown reader thread message should like info socket reader port readandprocess from client threw exception unknown out band call another example which can also called handler thread when that happend thread name should handler thread not responder thread,yes,ds-01-issue
camel,feature itself easy but not remember how service discovery was done may just need properly tested have time before can try make,no,ds-01-issue
chromium,these are not greatest icons attached but they will now,no,ds-01-issue
hbase,attaching regenerated book html,no,ds-01-issue
impala,even noticed that and tried release however that not bug since string assign copies contents changing use release instead get doesnt help here,no,ds-01-issue
thrift,hunks committed from original patch,no,ds-01-issue
hbase,mind taking look you have sec this something worked later branches now are backporting and base commit branch not essential but nice have sanity check,no,ds-01-issue
chromium,thats definitely issue this fails int start webnode all firstitem webelement int end dcheck start end looks like page translator broken exactly same way,no,ds-01-issue
gerrit,any way you can screencast yourself reproducing issue ? copying from comments seems work every time,no,ds-01-issue
gerrit,problem wpa connect ! ! !,no,ds-01-issue
hbase,todd which varint are you referring here ?,no,ds-01-issue
thrift,lgtm committed,no,ds-01-issue
thrift,error type namespace name texception could not found are you missing using directive assembly reference ? error type namespace name texception could not found are you missing using directive assembly reference ? error type namespace name texception could not found are you missing using directive assembly reference ?,no,ds-01-issue
hadoop,please review and commit appropriate,no,ds-01-issue
camel,with recent fixes are down erros cannot get component with name websocket,no,ds-01-issue
hbase,hbase added user documentation phase but book still does not contain changes reflecting phase have written something already but did not get around get them into asciidoc yet ill create subtask hbase that you have any suggestions how organize better ?,yes,ds-01-issue
hadoop,lgtm thanks,no,ds-01-issue
chromium,problem when type any textarea input elements when its text direction right left like hebrew when start typing and press right ctrl shift rtl home end buttons doesnt work expected pressing home need before first letter text line pressing end need after last letter text line cant explain attach screenshot possible,no,ds-01-issue
thrift,not support python any longer,no,ds-01-issue
284578088,however text vignette clearly still unfinished,yes,ds-04-R-issue
352174196,list package dependencies extensive and would suggest moving some dependencies suggests section ease installation and use,yes,ds-04-R-issue
gerrit,not reproduceable,no,ds-01-issue
impala,this making difficult debug,no,ds-01-issue
camel,pgp decryption sometimes cant find secret key,no,ds-01-issue
gerrit,missing copy clipboard icons after upgrade,no,ds-01-issue
hadoop,here trunk commit from,no,ds-01-issue
impala,removed support,no,ds-01-issue
hadoop,again patch been applied trunk instead hadoop branch let know have done any mistake naming patch file,no,ds-01-issue
camel,patch with license,no,ds-01-issue
hadoop,resubmit patch automatic testing,no,ds-01-issue
chromium,bulk unrestriction severity none bugs,no,ds-01-issue
gerrit,you have example change which should appear results but doesnt ? see more results search using owner instead author,no,ds-01-issue
hbase,deprecated and make rsgroup feature always enabled,no,ds-01-issue
impala,doesnt deep copy collections this leaves destination tuple with pointers into potentially invalid memory,yes,ds-01-issue
chromium,operating system windows mac url where crash occurred can you reproduce this crash ? what steps will reproduce this crash its not reproducible what were you doing just before crash ? please note that issues filed with information filled above will marked wontfix not change below this line,no,ds-01-issue
impala,implement parquet date type support,no,ds-01-issue
gerrit,dosent work new material desgn which gerrit reivew has not been updated yet fixes issue,no,ds-01-issue
thrift,committed thanks !,no,ds-01-issue
chromium,ime still not working shockwave flash typing mandarin,no,ds-01-issue
534011282,richer tests suites implemented,yes,ds-04-R-issue
342724843,another issue that deprecated underscore verbs mutate group select rename are sprinkled around this package,yes,ds-04-R-issue
chromium,info same behaviour chrome java installed chrome ask install plugin version under windows workaround acknowledge that you are using old plugin each time you java applet,no,ds-01-issue
hadoop,print logs info level when drop responses this causes lot noise console,yes,ds-01-issue
gerrit,merge many commits simultaneously opened many tabs then switched and submitted all them quickly one commit has disappeared using cherry pick strategy,no,ds-01-issue
chromium,disabled chromeos its failing seems like its due timing asynchronous issue but havent look into details yet,no,ds-01-issue
thrift,ill producing these with cross compile script starting with,no,ds-01-issue
hbase,please todo this comment file new ticket remove this configuration tweak after issue resolved upstream dont want one offs like this become lost and forgotten,yes,ds-01-issue
chromium,looks like general memory corruption,no,ds-01-issue
camel,when reading files from file ftp sftp component often neccesarry get files predifined order created date filename solve this extra uri parameter could used set order files beeing processed ordering can done after reading file list know this can also solved applying resequencer pattern route but think large files would hard apply this also processing created date order would more natural,yes,ds-01-issue
hadoop,this code created true enters condition and then executes created false that part code not entered aaron can you add details why this would change behavior ?,yes,ds-01-issue
camel,maven archetype generates wrong plugin surefire plugin,no,ds-01-issue
chromium,probably want fix ?,no,ds-01-issue
hbase,committed small change,no,ds-01-issue
177408867,have few pieces advice that think will make code more modular and easy develop grows,no,ds-04-R-issue
hadoop,lzop compatible compressioncodec,no,ds-01-issue
impala,use after free various backend tests,no,ds-01-issue
342724843,test coverage good overall but sticks mostly happy path,yes,ds-04-R-issue
chromium,clear browsing data does not refresh history page,no,ds-01-issue
hbase,thats irb ruby interactive shell that underlies hbase shell please see example configuring your local irbrc file our reference guide you want change please use mailing list discuss configuration questions,no,ds-01-issue
gerrit,init truncates bin gerrit war run from bin gerrit war,no,ds-01-issue
hbase,master providing dead regionserver servernames balancer,no,ds-01-issue
hadoop,run randomwriter twice formatted namenode each time only varying number directory elements dfs data dir property when dfs data dir has element fsck report following healthy total size total blocks avg block size total dirs total files over replicated blocks under replicated blocks target replication factor real replication factor filesystem under path healthy when dfs data dir has more than one entry fsck reports following healthy total size total blocks avg block size total dirs total files over replicated blocks under replicated blocks target replication factor real replication factor filesystem under path healthy,no,ds-01-issue
327687769,looked like there was some output included documentation,yes,ds-04-R-issue
thrift,committed,no,ds-01-issue
chromium,vista download started from,no,ds-01-issue
camel,keep html extracted from website debugging,no,ds-01-issue
thrift,removes erlang client lib build from vagrantfile,no,ds-01-issue
hadoop,just committed this thanks mahadev,no,ds-01-issue
hbase,this issue was closed part bulk closing operation all issues that have been resolved and where all fixversions have been released have been closed following discussions mailing list,no,ds-01-issue
chromium,following layout test flaky win and linux probable cause dont know been flaky long time,yes,ds-01-issue
camel,closing all tickets,no,ds-01-issue
hbase,lgtm,no,ds-01-issue
thrift,improvement,no,ds-01-issue
camel,none,no,ds-01-issue
hadoop,ramya how are you setting interval minute ? hodrc hadoop site xml ? this truly broken why this marked minor ?,no,ds-01-issue
hadoop,via dfsclient gethints post hadoop ? returns address datanodes instead hostnames which breaks mapping from task tracker datanodes map reduce system cannot intelligently place maps datanodes where blocks are present have verified that this affects trunk only branch seems,no,ds-01-issue
hadoop,took nikolas suggestion created new class turns out mapred already has such class after this patch committed will remove mapreds one and make use this one from common also will need change hdfs use this new exception instead filenotfound,yes,ds-01-issue
chromium,running manually under valgrind with things south when hit plugin page because interpose library doesnt load because executable path isnt what want tried copying valgrind into bundle temporary workaround and that got further but then plugin main assert that set failed apparently its not propagating all way through looks like making separate plugin helper that links library directly assuming that works probably upgraded from might nice should,no,ds-01-issue
thrift,patch series rebased and attached,no,ds-01-issue
camel,ognl classes not bundled snapshot,no,ds-01-issue
gerrit,mac osx syntax error when initial source build envsetup,no,ds-01-issue
hadoop,test fails due here error message test set errors skipped sec failure ! sec error ! boolean method method this prevents clean build,no,ds-01-issue
impala,need owner impala docker builds,no,ds-01-issue
hbase,when comparing timestamps keyvalues tests have shown that faster byte compare timestamps rather than converting longs and then long compare case where you have one byte and one long that you need compare better convert both long and long compare some numbers compare byte byte timer compare bytes long bytes long timer compare long long timer bytes long timer long bytes timer,yes,ds-01-issue
hadoop,looks good pending hudson thanks changes,no,ds-01-issue
gerrit,delete comment button takes too much vertical space,yes,ds-01-issue
337022051,emphasise think cregulome may useful bioinformatics package but unsure how reconcile expectations and requirements ropensci and bioconductor package especially when package yet reviewed bioconductor,yes,ds-04-R-issue
hbase,defined some constants that they are shared both and openregionhandler,no,ds-01-issue
impala,wasted space presence many null tuples,yes,ds-01-issue
hadoop,accesses handlers without synchronization,yes,ds-01-issue
camel,api can reachable from jmx and also from camel commands karaf etc,no,ds-01-issue
hadoop,committed this trunk and branch thanks contribution !,no,ds-01-issue
impala,thanks this excellent bug report ! was very easy follow your examples and train thought thankfully this issue has already been fixed impala confirmed that correct results are returned master,no,ds-01-issue
hadoop,updated patch apply after formatting changes hadoop,no,ds-01-issue
gerrit,once used implement shortcuts and worked quite well maybe you could try that ?,no,ds-01-issue
hbase,whoa that can make things much worse ?,no,ds-01-issue
camel,closing all resolved tickets from older,no,ds-01-issue
gerrit,yes resolve checkbox appears outside scrolling viewport,no,ds-01-issue
camel,just dug code and found out all unit tests which extends cameltestsupport has same problem which lets routebuilder creates default camel context when first dsl method used resolve this need pass camel context instance routebuilder avoid create default camel context there adding created camel context into static set think maybe can when camel context start camel,no,ds-01-issue
hbase,yes understanding apache foundation level process individuals role assemble release candidate artifacts voting pmc what puts together can anything that can traced back revision scm this will only work and pmc are general agreement has effect filtering function delegated pmc hbase dont have anything formalized beyond basics which think good thing whether wishes assert that filtering function prior commit branch after individual our general practice ping and wait acknowledgement before backport discretionary changes important bug fixes dont need this personal preference like opportunity review significant changes before commit but all other cases please feel free commit branch ill handle changes basis,no,ds-01-issue
hadoop,opensolaris taxonomy link dead,yes,ds-01-issue
chromium,hey suzhe can you explain what was wrong with old code ? sort curious what happened,no,ds-01-issue
chromium,works fine with chromium developer build windows and linux,no,ds-01-issue
hbase,lgtm,no,ds-01-issue
camel,dead not working junittest,yes,ds-01-issue
impala,would nice get able get information about errors query encountered like corruptions missing block metadata integer overflows and anything you guys think would interesting profile its all centralized,yes,ds-01-issue
chromium,confirmed using google chrome canary windows webkit trunk other browsers safari with webkit fail nightly opera need post upstream bugs webkit org,no,ds-01-issue
thrift,cocoa library has implementation tmemorybuffer found other language libraries,no,ds-01-issue
hbase,familymap not invalidated when result read writable,no,ds-01-issue
chromium,has been merged into this issue,no,ds-01-issue
hbase,patch tested master branch needed can provide patch other branches,no,ds-01-issue
thrift,this necessary you can wrap ttransport with tbufferedtransport which will use bufio,no,ds-01-issue
hbase,lgtm,no,ds-01-issue
chromium,tests are too verbose because they manipulate dictionaryvalues directly style uses files disk its more data driven and easier read,yes,ds-01-issue
camel,camel jms requesttimeout with negative value should mean timeout,no,ds-01-issue
camel,ran test after commenting out field and ran without any errors annotation didnt work base class missing field would have caused test fail btw field does return non default true value when its present class try your test commenting out existing field from generated account dto not sure why that case would different from when new salesforce field added but give shot,no,ds-01-issue
hbase,hedgedread metrics are master branch only they were put branch but then reverted because old versions hadoop didnt supported hedgedreads has minimal hadoop version retry backport fyi,no,ds-01-issue
hadoop,remove depedency http core,no,ds-01-issue
hadoop,example usage bin hadoop distcp prbugp numthreadspermap hdfs targethdfs this uses mapper each which with threads distcp its equivalent running mappers except this more efficient long dont hit resource bottleneck single machine note that needed you only update client side hadoop tools jar but not server yarn nodemanager side yet,no,ds-01-issue
thrift,this class was originally meant functional testing only performance wasnt concern but now using load testing two patches here first enables buffered second allows http server class specified which allows users use threadingmixin,yes,ds-01-issue
gerrit,spaces are replaced with path,no,ds-01-issue
hadoop,when trash interval set non zero value deleted files and directory which are trash are not getting removed from there after trash interval,no,ds-01-issue
gerrit,fixed,no,ds-01-issue
hbase,referring this need non local state variable avoid jit optimization changed testlock method below and get more reasonable result previous result was not that reasonable considering underlying implementation,no,ds-01-issue
hadoop,this adding missing documentation config property code change was involved,yes,ds-01-issue
hadoop,hairong saw comment just now about unit tests thanks fixing,no,ds-01-issue
hadoop,patch moves log level warn this what already used and local hadoop conf happy with,no,ds-01-issue
hbase,reading around junit docs looks like reason result these two rules test timeout applies only test function and not whole test fixture after before etc timeout rule applies whole test fixture just has and timeout rule unlike have many other tests test method logs have runs less then sec meets timeout specified test annotation however get stuck teardown and since there timeout rule keeps running until surefire kills jvm after set sec let use timeout rule instead however note that this wont solve root cause hangup itll just make test fail neatly rather than getting stuck and requiring surefire plugin kill forked jvms see hbase,no,ds-01-issue
gerrit,set create change with several lines its diff read sent email should formatted correctly lines are wrapped every characters this was caused which replaces newline with output looks like this meta content text html change first line characters long,yes,ds-01-issue
chromium,just implement expressed objections changing test upstream bug report,no,ds-01-issue
hadoop,problem with crc files indeed valid one hadoop,no,ds-01-issue
thrift,add ability specify symbolic default value optional boolean,no,ds-01-issue
hbase,? ? ? its already here,no,ds-01-issue
hbase,implements hconnection which inturn implements abortable,no,ds-01-issue
camel,camel nagios deprecate encryptionmethod and use encryption enum,no,ds-01-issue
gerrit,make get request like this expected changeinfo json object instead message bad request status code content check not valid value without those three options object would sent same error occures with other format request,no,ds-01-issue
camel,are you working ?,no,ds-01-issue
368083209,there little any code duplication,no,ds-04-R-issue
gerrit,when firing any change action that has progress indicator text text not aligned along baseline instead its too high see screenshot,yes,ds-01-issue
hbase,looks like this issue should resolved ? was committed ?,no,ds-01-issue
chromium,meant mention motivation this that many top commerce websites not request cardholders name,no,ds-01-issue
497150405,build graph object also returned error message,yes,ds-04-R-issue
hadoop,ahh looks someone else found this already hadoop,no,ds-01-issue
camel,since are using weve thought that camel jboss obsolete from camel onwards there longer need using this camel jboss component camel now capable loading type converters without package scanning this requires though that all party components with type converter must define name converter classes fqn file see more details type converter one exception you are using bindy component still needs this jboss resolver,no,ds-01-issue
