projectname,Abstract,origin_label,datasetname
spark,spark sql string function concat closes from rxin concat and squashes following commits reynold xin removed hives concat test reynold xin concat never nullable reynold xin removed extra import fddcbbd reynold xin fixed npe reynold xin added missing file reynold xin spark sql string function concat,yes,ds-02-commit
incubator-heron,upgrade pex upgrade pex place,no,ds-02-commit
attic-stratos,adding dependent scaling drl test,no,ds-02-commit
cxf,cxf oauth authorization server metadata openid provider metadata cxf oauth authorization server metadata openid provider metadata use well known path annotation,no,ds-02-commit
shardingsphere,checkstyle,yes,ds-02-commit
camel,regen,no,ds-02-commit
cxf,cxf update location where generates sources are output,no,ds-02-commit
camel,bump hikaricp version and passed hikaricp java,no,ds-02-commit
incubator-weex,reset gemfile lock,no,ds-02-commit
camel,update index adoc,no,ds-02-commit
camel,fixed errors camel jms component,no,ds-02-commit
bigtop,bigtop enable local repo not working yum systems,no,ds-02-commit
karaf,merge branch master https git wip apache org repos asf karaf,no,ds-02-commit
trafodion,trafodion rework misplaced parenthesis misplaced paranthesis caused previous change not work expected,no,ds-02-commit
jmeter,fixup change menuinfo,no,ds-02-commit
spark,spark spark infra run relevant tests only github actions what changes were proposed this pull request ? this mainly proposes run only relevant tests just like jenkins builder does currently github actions always run full tests which wastes resources addition this also fixes more issues very closely related together while here main idea here reuses existing logic embedded dev run tests which jenkins builder use order run only related test cases while here fixed spark too run doc tests was because other references were not available when cloned via checkoutv with fetch depth history available addition fixes dev run tests match with python run tests terms its options environment variables such test only xxx were moved proper options example which consistent with python run tests example lastly also fixed formatting issue module specification matrix which incorrectly runs build test modules why are changes needed ? running only related tests can hugely save resources and avoid unrelated flaky tests etc also now runs doctest dev run tests properly usages are similar between dev run tests and python run tests and run network common network shuffle launcher and examples modules too does this introduce any user facing change ? dev only how was this patch tested ? manually tested own forked spark https github com hyukjinkwon spark pull https github com hyukjinkwon spark pull https github com hyukjinkwon spark pull https github com hyukjinkwon spark pull https github com hyukjinkwon spark pull https github com hyukjinkwon spark pull closes from hyukjinkwon spark,no,ds-02-commit
shardingsphere,use shardingproperties,no,ds-02-commit
flink,added arraymergertest,no,ds-02-commit
lucene-solr,mark test slow now can take nearly minute,yes,ds-02-commit
lucene-solr,solr add more mdc logging information collection admin requests,yes,ds-02-commit
couchdb,fix typo error,yes,ds-02-commit
cloudstack,loudstack ovs refers sdn provider however are not supporting sdn this release therefore remove ovs from this release,no,ds-02-commit
systemds,systemml engine enhancements changed version number pom files,no,ds-02-commit
tinkerpop,correct logic travis build ensure that deploy only done when commit push master,no,ds-02-commit
netbeans,fix typo anonymous fix from github closes,yes,ds-02-commit
cxf,minor updates make simpler override methods creating application,yes,ds-02-commit
brooklyn-server,make pool and lease implement closeable,no,ds-02-commit
fineract,month end dates reschedule issue fix,no,ds-02-commit
systemds,systemml performance codegen cellwise over compressed matrices this patch makes following performance improvements codegen cellwise operations and others over compressed matrices sparse output matrices sparse safe operations where ensure correctness explicitly sorting output sparse rows which done thread local manner per row partition pre allocation sparse rows order avoid repeated allocations determining number non zeros per row partition front note that this requires segment aligned row partitions which only enforce this does not limit effective degree parallelism skip scan exploitation find boundaries ole value iterators order avoid repeated scans entire iterator just find row partition starts this also implicitly used all other codegen operations over compressed matrices example scenario with pre processed imagenet dataset images pixels per image and simple sparse safe cellwise generated operator where compressed input this patch improved single node performance from this competitive given that uncompressed codegen operation takes finally this patch also includes robustness fix generic colgroupoffset iterator cases where iterator over row partition does not have any row indexes,yes,ds-02-commit
hadoop,yarn race condition when stopping causes crash during failover beluga behr via wangda,no,ds-02-commit
lucene-solr,lucene random sampler was not random and facet samplingwrappertest occasionally failed,no,ds-02-commit
karaf,karaf upgrade aries subsystem,no,ds-02-commit
ozone,hdds handle scmpipelinemanager,no,ds-02-commit
cloudstack,added new chapter,no,ds-02-commit
couchdb,verbose etap output single file runs,no,ds-02-commit
phoenix,phoenix arrayconstructor expression does not serialize arrays with leading nulls correctly,no,ds-02-commit
flink,flink rocksdb support customized rocksdb write read options and use get them,no,ds-02-commit
camel,camel fix typo,yes,ds-02-commit
systemds,systemml python launch script spark submit closes,no,ds-02-commit
spark,bugfix fix sbt sbt script spark home setting some environments this command export spark home dirname pwd echoes two paths one and one pwd note resulting erroneous jar paths below ctn ubuntu src spark sbt sbt extra args ! dirname sbt sbt sbt pwd export spark home home ctn src spark home ctn src spark spark home home ctn src spark home ctn src spark export spark testing spark testing java xmx maxpermsize jar home ctn src spark home ctn src spark sbt sbt launch jar error invalid corrupt jarfile home ctn src spark committer ctn ctn adatao com branch master changes committed send output part dev null modified sbt sbt,no,ds-02-commit
cxf,karaf released !,no,ds-02-commit
camel,camel xslt aggregation strategy thanks ranil wijeyratne this closes,no,ds-02-commit
kylin,merge pull request from aaaaaaron minor log minor correct config name printed logs exception,no,ds-02-commit
attic-apex-core,pass case insensitive class comparator treeset,no,ds-02-commit
accumulo,accumulo add scanner batch timeout,no,ds-02-commit
incubator-mxnet,merge pull request from lukemetz add pow added pow,no,ds-02-commit
hbase,hbase region server metrics context will wrong when machine hostname contain master word pankaj kumar,no,ds-02-commit
lucene-solr,solr refactor export not hardcode json output and use api,yes,ds-02-commit
storm,storm pluggable system metrics,no,ds-02-commit
bigtop,bigtop upgrade sqoop,no,ds-02-commit
tomee,tomee conf option tomee embedded,no,ds-02-commit
activemq,seems hang slow box ensure does not stop rest tests using autofailsupport,no,ds-02-commit
spark,spark sql use more information simplify code expand builder what changes were proposed this pull request ? code expand apply can simplified existing information groupbyexprs parameter are all attribute child parameter project that append aliased group expressions its childs output how was this patch tested ? existing tests closes from cloud fan expand,yes,ds-02-commit
tinkerpop,set javadoc generation quiet get rid some superfluous informational messages further reduce log sizes,yes,ds-02-commit
hive,hive add version info meta inf manifest bill graham via zshao,no,ds-02-commit
jmeter,bug listeners savers assume sampleresult count always fixed generate summary results,no,ds-02-commit
beam,beam partially port unpackaged modules python partially port unpackaged remove legacy code,yes,ds-02-commit
spark,spark document verbose spark shell https issues apache org jira browse spark closes from ash spark and squashes following commits andrew ash spark document verbose spark shell,no,ds-02-commit
lucene-solr,solr move xmlwriter response,no,ds-02-commit
camel,added snippets wiki documentation,no,ds-02-commit
flink,flink docs add raw format link index,no,ds-02-commit
carbondata,fixed filter expression deserializing issue from thrift server this closes,no,ds-02-commit
cassandra,merge branch cassandra into trunk,no,ds-02-commit
geode,geode avoid running test case distributed transaction,no,ds-02-commit
guacamole-client,added guacamolereader available using determine appropriate times flush tunnel servlet output,no,ds-02-commit
thrift,thrift remove rat exclude rat exclude file within root our source tree not use anymore has its origin from incubating phase where tool apache rat was used http creadur apache org rat this closes,yes,ds-02-commit
lucene-solr,lucene customscorequery enhanced support multiple valuesource queries,no,ds-02-commit
druid,empty task intervals and empty lock intervals arent useful prevent them from being created through checks and tasklockbox trylock,no,ds-02-commit
incubator-brooklyn,adds example with open loop policy adds which sends sms message when max pool size cap reached this notification operator allows someone manually reconfigure autoscaler policy increase max pool size desired,no,ds-02-commit
lucene-solr,solr remove unused solrcacheholder accidental leftover from reverted plugin work,yes,ds-02-commit
cloudstack,cloudstack working new install compiling documentation,no,ds-02-commit
calcite,trace generated java code fix typo,yes,ds-02-commit
hadoop,hdfs not ignore when adding symlinks,yes,ds-02-commit
cloudstack,bug fixing upgrade issue status resolved fixed,no,ds-02-commit
rocketmq,compatible with jdk remoting module,no,ds-02-commit
cloudstack,revert cloudstack few fixes this reverts commit,no,ds-02-commit
accumulo,accumulo expanded test fixed bug its initialization,no,ds-02-commit
camel,added test case showing how use named query with jpa along with using annotation mark consumed method pojo developers can write method invoked consume set flag update step next state etc also performed minor refactor move more reusable code into core module dealing with exception handling reflection calls,yes,ds-02-commit
incubator-weex,merge branch android feature into android feature,no,ds-02-commit
groovy,groovy provide reverseeach method arrays,no,ds-02-commit
arrow,arrow python add basic unit tests orc reader these use example files published apache orc repository closes from pitrou arrow orc tests and squashes following commits wes mckinney update quay image used pandas wes mckinney use pandas everywhere wes mckinney upgrade pandas manylinux image latest wes mckinney not use binary read mode wes mckinney use pandas orc tests delete pickles antoine pitrou add decimals test antoine pitrou fix tests antoine pitrou arrow add basic unit tests orc reader,no,ds-02-commit
cassandra,exclude thrift servers compile dependency junit,no,ds-02-commit
beam,merge pull request from ibzib beam java beam add environmentoptions java,no,ds-02-commit
lucene-solr,lucene use macro average confusion matrix metrics removed unused import datasplitter,yes,ds-02-commit
cxf,fix running java set import version javax annotation,no,ds-02-commit
spark,sql fixed expression data type matching also took chance improve documentation various types closes from rxin data type matching expr and squashes following commits reynold xin one more function documentation reynold xin added more documentation reynold xin sql fixed expression data type matching,yes,ds-02-commit
jmeter,replace bugzilla bug,no,ds-02-commit
karaf,karaf add pax cdi features repository,no,ds-02-commit
beam,beam upgrade spark version,no,ds-02-commit
ignite,ignite examples,no,ds-02-commit
geode,geode fix flaky shutdown test problem was that instance variable being set one thread and read another was not volatile,yes,ds-02-commit
groovy,groovy reference loop parameter leads type object instead declared type,no,ds-02-commit
cxf,finalizing jwe edch direct code now,no,ds-02-commit
hadoop,hdfs deduplicate xattr names memory wang,yes,ds-02-commit
shardingsphere,add executor size test,no,ds-02-commit
jmeter,unnecessary entries,yes,ds-02-commit
attic-stratos,validating deploymant policies autoscaling policies application policies and network partitions per modifications,no,ds-02-commit
gobblin,remove gobblin from notice mitu,no,ds-02-commit
guacamole-client,guacamole merge noauth deprecation,no,ds-02-commit
camel-website,camel nav pane does not show current page,no,ds-02-commit
beam,beam adding sdf dataflow translation,no,ds-02-commit
geode-native,geode make enable chunk handler thread false default sdded new integration test chunkhandler delete test adding value changing disable chunk handler thread enable chunk handler thread,yes,ds-02-commit
spark,spark sql correct handling multiple distinct aggregations having same argument set what changes were proposed this pull request ? bring back https github com apache spark pull this different approach just change check count distinct columns with toset how was this patch tested ? new test verify planner behavior closes from cloud fan back,no,ds-02-commit
fineract,reduce excessive logging causing travis problems fineract,yes,ds-02-commit
activemq,moved activeio into optional section,no,ds-02-commit
flink,hotfix fix exception message,yes,ds-02-commit
camel,polished,yes,ds-02-commit
camel,camel fix truncation logic,no,ds-02-commit
incubator-brooklyn,engr set lat and long mock location,no,ds-02-commit
avro,avro initializing uninizialized encoders fail,no,ds-02-commit
cassandra,add missing stop help back nodetool,no,ds-02-commit
nutch,fixed typo,yes,ds-02-commit
cloudstack,cloudstack setting null user address when static nat,no,ds-02-commit
incubator-brooklyn,register components entities policies uploading groovy scripts,no,ds-02-commit
lucene-solr,solr core discovery was not following symlinks,no,ds-02-commit
jena,untab,no,ds-02-commit
ambari,ambari ams quicklink directory name wrong causing errors ambari server start dili,no,ds-02-commit
tinkerpop,add null checking configuration,no,ds-02-commit
daffodil,add unparse option performance subcommand cli order measure performance unparsing infoset dfdl,no,ds-02-commit
nifi,nifi added more documentation this closes,yes,ds-02-commit
kylin,kylin diagnosis logs kylin log,no,ds-02-commit
cloudstack,define version dependency plugin parent pom,no,ds-02-commit
camel,removed camel context remaining stuff,no,ds-02-commit
hadoop,hdfs move dfsclientconf hdfs client contributed mingliang liu,no,ds-02-commit
jena,improve javadoc rdfparser provide fromstring shortcut,no,ds-02-commit
jena,fixed bug querytransformops that incorrectly added default graphs named graphs,no,ds-02-commit
lucene-solr,lucene backport changes,no,ds-02-commit
beam,merge pull request update machine numbers inventory tests update machine numbers inventory tests,no,ds-02-commit
incubator-brooklyn,fix classnames start scripts,no,ds-02-commit
trafficcontrol,removed wicket from regionalgeo java,no,ds-02-commit
reef,merge pull request from microsoft cisl julia julia tang fork injector and test case,no,ds-02-commit
camel,camel support fixed,no,ds-02-commit
incubator-brooklyn,fix refresh activities,no,ds-02-commit
activemq,amqp support configurable transformers and populate message properties default native one,no,ds-02-commit
trafficserver,fixes more leaks when ocsp url available this follow and more complete version dda efbc,yes,ds-02-commit
incubator-dolphinscheduler,update escheduler api unit test change log level debug add unit test update escheduler dao unit test update escheduler api unit test,no,ds-02-commit
hadoop,hadoop remove jdk profile from hadoop annotations module,no,ds-02-commit
reef,merge pull request from microsoft cisl shravanmn fixing,no,ds-02-commit
activemq-artemis,artemis binding query sender link attach queuequery was previously used instead checking bindings particular address name this meant sending and receiving only worked those queues that happened have same queuename address this patch replaces this with binding check theres also some minor protontest fixes included,no,ds-02-commit
incubator-pinot,add transformations javadoc add timeseries transformations difference and offset expand javadoc,no,ds-02-commit
camel,camel camel aws lets call shutdown clients while stopping endpoints aws,no,ds-02-commit
calcite,calcite mutableproject should generated based inverse surjection mapping donnyzone,no,ds-02-commit
zeppelin,zeppelin allow keep job running while close interpreter what this ? this allow keeping job running while close interpreter this pretty useful streaming jobs that you would like keep running even after interpreter closed such flink spark streaming job this introduce property zeppelin interpreter close cancel job control that each interpreter can configure its interpreter properties what type ? feature todos what jira issue ? https jira apache org jira browse zeppelin how should this tested ? pass screenshots appropriate questions does licenses files need update ? there breaking changes older versions ? does this needs documentation ? closes from zjffdu zeppelin and squashes following commits jeff zhang zeppelin allow keep job running while close interpreter,no,ds-02-commit
jmeter,add version display,no,ds-02-commit
usergrid,updated manifest,no,ds-02-commit
storm,added shutdown hook kill topos exit,no,ds-02-commit
tinkerpop,added comments pom around asciidoc generation,no,ds-02-commit
incubator-pinot,adding banner old docs new doc link,no,ds-02-commit
calcite,calcite jdbc driver should return system table rather than system table,no,ds-02-commit
brooklyn-server,fix test,no,ds-02-commit
jmeter,allow old style svn workspaces,no,ds-02-commit
beam,enable failonwarnings all projects,no,ds-02-commit
cxf,cxf making servlet api dependency optional oauth poms,no,ds-02-commit
camel-k,add option provide initial configuration knative,no,ds-02-commit
myfaces-tobago,tobago refactoring lint,no,ds-02-commit
flink,flink gelly added create methods from set edges,no,ds-02-commit
incubator-mxnet,merge pull request from tqchen master fix submodule version,no,ds-02-commit
trafficserver,consistently apply char indentation,yes,ds-02-commit
hadoop,hdds use rocksdbstore and tablestore scm metadata contributed anu engineer,no,ds-02-commit
bookkeeper,add option descriptions changes this add option this helps knowing who holding lock underreplicated ledger and diagnosing that replicationworker are seeing any issues rereplication this closes from reddycharan,no,ds-02-commit
tomee,tomee prevent not loadable bean classes seen cdi and fail later extensions,no,ds-02-commit
flink,flink flip make shut down non blocking,no,ds-02-commit
tinkerpop,renamed build create and create build builder pattern throughout updated docs well,no,ds-02-commit
spark,minor cleanup based feedback review request,yes,ds-02-commit
brooklyn-server,this closes,no,ds-02-commit
cassandra,merge branch cassandra into trunk,no,ds-02-commit
airflow,airflow decouple dagbag and executor,yes,ds-02-commit
cloudstack,domain page root domain not allowed delete,no,ds-02-commit
shardingsphere,discover automatically instead write into rule config discover automatically instead write into rule config,no,ds-02-commit
ignite,code style,yes,ds-02-commit
airflow,add support extra links coming from providers closes,no,ds-02-commit
ambari,ambari manual kerberos error clicking next button configure identities page add service wizard alexantonenko,no,ds-02-commit
camel,regen,no,ds-02-commit
flink,flink network refactor networkenvironment setuppartition setup move partition setup from networkenvironment resultpartition this eliminates tie between task and networkenvironment task does not need depend networkenvironment and can trigger setup from interface,no,ds-02-commit
superset,sip open new api query endpoint that takes query obj introduce new handle superset exception decorator avoid repeating logic catching supersetexceptions create query obj backfill method that takes form data and constructs query obj that will constructed client future use backfill explore json create new api query endpoint that takes query obj only and returns payload data note query obj constructed client endpoint currently only handles query obj table view viz well adding support new viz types unit test verify new endpoint table view fix tests and lint errors move new query endpoint into its own api view create queryobject and querycontext class encapsulate query object built from client and additional info datasource needed get data payload given query remove query obj backfill well start building first query object client longer makes sense have short lived backfill matter days fixing lint and test errors fixing additional lint error from previous rebase fixing additional lint error addressing additional comments make query accept list queries query context object fixing lint error move time shift based calculation and since until check into util add typing info get since until add new unit tests verify time shift calculation and since until check,no,ds-02-commit
hive,hive makes couple convenience methods eximutil public contributed krishna kumar,no,ds-02-commit
spark,throw cached missing locs,no,ds-02-commit
attic-stratos,fixed issue complete topology and tenant events being processed each iteration,no,ds-02-commit
incubator-brooklyn,new style lozenge tree view,no,ds-02-commit
activemq,https issues apache org jira browse amq all little performance test non imperative,no,ds-02-commit
jena,fix comments,no,ds-02-commit
spark,merge pull request from dennybritz fix examples jar examples ship cluster,no,ds-02-commit
cassandra,fix cqlrecordwriter with composite keys patch craig mcmillian reviewed jbellis cassandra,no,ds-02-commit
shardingsphere,delete executecallback,no,ds-02-commit
activemq,merge pull request from coheigea amq amq truststore settings dont wor,no,ds-02-commit
flink,flink add tests failing state this closes,no,ds-02-commit
cloudstack,cloudstack cannot use listnics api advertised added missing details listnics api response,yes,ds-02-commit
activemq-artemis,artemis allow local transactions when jta resource adapter https issues apache org jira browse artemis,no,ds-02-commit
incubator-brooklyn,this closes,no,ds-02-commit
tajo,tajo implement bit length string function fixed missing log changes txt,no,ds-02-commit
tomee,added fault tolerance,no,ds-02-commit
druid,add build status image readme,no,ds-02-commit
infrastructure-puppet,fall back basic puppet pip installs,no,ds-02-commit
tinkerpop,fixed section docs dkuppitz and added new adjacency list graphic,no,ds-02-commit
shardingsphere,add translation online business transformation,no,ds-02-commit
cassandra,merge branch cassandra into cassandra,no,ds-02-commit
carbondata,carbondata fix incorrect query results with limit why this needed ? issue after creating materilaised view queries with simple projection and limit gives incorrect results issue compact iud delta materilaised view throws because not set issue queries with order columns not projection create mvs gives incorrect results what changes were proposed this ? issue copy subsume flag and flagspec subsumerplan while rewriting with summarydatasets update flagspec per attributes and copy relation issue set carbonloadmodel using carbontable case iud delta compaction issue order columns has present projection list during create this closes,no,ds-02-commit
flink,flink provide end end test kafka connector flink provide end end test kafka connector,no,ds-02-commit
beam,this closes https github com apache beam site pull,no,ds-02-commit
pulsar,return schema found,no,ds-02-commit
attic-apex-core,merge branch hotfix spoi spoi resolve,no,ds-02-commit
ignite,added test,no,ds-02-commit
trafficserver,remove proxy config http session auth cache keep alive enabled remnants,no,ds-02-commit
cloudstack,ugrade convert account specific vlans account specific networks,no,ds-02-commit
cloudstack,cloudstack specify value rootdisksize parameter add some bytes log exception messages fix,yes,ds-02-commit
zookeeper,zookeeper hudson failure mahadev via henryr,no,ds-02-commit
cxf,fix problems with async calls hanging there read connection timeout also allow passing httpclientpolicy object via request context set timeouts and such,no,ds-02-commit
cxf,cxf get colms tests working,no,ds-02-commit
trafficserver,clang format,no,ds-02-commit
storm,storm remove unnecessary stacktrace from log,yes,ds-02-commit
couchdb,optimize resubmitting pending jobs previously even when scheduled time was same job was still deleted and inserted into pending queue now perform enqueing operation only scheduled time has changed whole operation run its own transaction transaction will now become read only transaction this optimization should come handy with indexing auto builder example where multiple nodes might try enqueue job and then only first would succeed and rest will perform quick one row read and not any writes,no,ds-02-commit
tvm,codegen use charp voidp,no,ds-02-commit
attic-stratos,adding condition check availability groups application parser,no,ds-02-commit
cloudstack,unskip skipped tests,yes,ds-02-commit
cxf,added more annotations,yes,ds-02-commit
camel,added some comments cachedoutputstream,no,ds-02-commit
cloudstack,bug change function signatures accept capacity type object,no,ds-02-commit
tvm,improvements conda build,no,ds-02-commit
cloudstack,fxies,no,ds-02-commit
ambari,ambari after enabled graphana fails start with ssl get server hello tlsv alert protocol version echekanskiy,no,ds-02-commit
beam,beam samzarunner add option read configs using user defined factory,no,ds-02-commit
spark,more updates describing changes recommended use environment vars and new python stuff,no,ds-02-commit
hadoop,hadoop add ipc client connect retry interval control frequency connection retries karthik kambatla via sandy ryza,no,ds-02-commit
trafficserver,coverity smarter than,no,ds-02-commit
groovy,groovy fix without delegate,no,ds-02-commit
tinkerpop,added dedup optimizer,no,ds-02-commit
lucene-solr,lucene call getdelegate instead direct member access during unwrap filter reader instances access member delegate directly instead calling getdelegate order track access delegate these methods should call getdelegat,no,ds-02-commit
cassandra,merge branch cassandra into cassandra,no,ds-02-commit
cassandra,remove unused method merge and add more tests columnfamilytest patch sandeep tata review jbellis,yes,ds-02-commit
jmeter,svn eol style,no,ds-02-commit
incubator-heron,changing commandline arguments passed key value fashion changing commandline arguments passed key value fashion allow override config heron executor actually override heron internal configs heroninstance fixing unittest shading dep,no,ds-02-commit
phoenix,phoenix add null check parent name,no,ds-02-commit
incubator-weex,merge branch ios feature new slider neighbor fix github com bluebird weex into ios feature new slider neighbor fix via github ios feature new slider neighbor fix github com bluebird weex,no,ds-02-commit
hadoop,hdfs need more stats dfsclient contributed pranay singh,no,ds-02-commit
camel,camel applied patch with thanks william,no,ds-02-commit
shardingsphere,rename rdl distsql remove useless getter rename rdlvisitor rename rdl distsql rename rdl module name rename rdl package name rename rdl class name,yes,ds-02-commit
cloudstack,revert cloudstack changes related checking snapshot nfs server this reverts commit fdf,no,ds-02-commit
cloudstack,new wizard show zone template service offering disk offering last step,no,ds-02-commit
usergrid,merge branch two dot https github com usergrid usergrid into two dot,no,ds-02-commit
gobblin,merge pull request from kadaan fix change aws security credentials providers,no,ds-02-commit
karaf,karaf install http feature will start both and jetty port,no,ds-02-commit
cassandra,extract newsystemtable method and unused code cfmetadata patch jbellis,yes,ds-02-commit
trafodion,fix check warning instead error,no,ds-02-commit
pulsar,bumped version incubating snapshot,no,ds-02-commit
jmeter,remove final methods class final,no,ds-02-commit
spark,spark reserve space lines trim codeblock lines function include example removes some blank lines code closes from yinxusen spark,yes,ds-02-commit
ambari,ambari incorrect error count ranger userinfo tab ababiichuk,no,ds-02-commit
beam,remove extraneous executioncontext parameter basestepcontext,yes,ds-02-commit
cassandra,merge from,no,ds-02-commit
ignite,merge from sprint,no,ds-02-commit
bigtop,bigtop dockerfiles bigtop slaves,no,ds-02-commit
ambari,ambari should use url given backend rzang,no,ds-02-commit
camel,improve shutdown listener consumer,no,ds-02-commit
netbeans-website,netbeans tutorials typo last reviewed not,yes,ds-02-commit
tvm,rpc use callback func send recv fix java build fix min max macro define windows keep old rpc setup add doc callbackchannel,no,ds-02-commit
hive,hive prep object registry multi threading gunther hagleitner reviewed vikram dixit,no,ds-02-commit
brooklyn-server,adds archiveutilstest fixes archiveutils fixes case where optionaltmpdir not supplied adds various test cases,no,ds-02-commit
lucene-solr,solr one state json per collection solr support one json per collection,no,ds-02-commit
beam,fix from any bytes transition,no,ds-02-commit
camel,added unit test based stackoverflow question,yes,ds-02-commit
cloudstack,need update configuration,no,ds-02-commit
incubator-doris,bug fix bug and refactoring code method getdbs fix issue,no,ds-02-commit
activemq-artemis,update url checkstyle checks documentation,no,ds-02-commit
airflow,airflow further fix mysql utcdatetime original fix from commit cbc was wrong converted utc initially but then make naive had used timezone and converted lcoal timezone rather than utc,no,ds-02-commit
karaf,karaf downgrade wagon,no,ds-02-commit
attic-stratos,this closes chaning port mapping,no,ds-02-commit
shardingsphere,add yaml configuring method,no,ds-02-commit
cloudstack,use java tmpdir instead hardcoded tmp,yes,ds-02-commit
